date,hail_occurred,cape,shear,freezing_level
2020-04-01,0,0.29125,14.839142,2934.0476
2020-04-02,1,192.95,12.463734,2987.6675
2020-04-03,0,94.07875,21.950764,1825.2788
2020-04-04,0,70.99125,17.066221,2094.6187
2020-04-05,0,3.4925,14.027824,2832.225
2020-04-06,0,111.47375,12.103554,3124.0037
2020-04-07,0,273.805,15.3125725,3267.1726
2020-04-08,0,557.86,16.938494,2982.4976
2020-04-09,0,2.665,23.642513,2253.6575
2020-04-10,0,3.34625,14.198554,2657.455
2020-04-11,1,455.79874,12.503299,2880.6062
2020-04-12,1,162.12125,19.915062,1940.8562
2020-04-13,0,1.56625,31.095127,636.3013
2020-04-14,0,2.4775,23.215094,622.84125
2020-04-15,0,0.31,21.306486,1269.8363
2020-04-16,0,3.18,24.408464,1798.54
2020-04-17,0,0.64875,26.607203,1725.8975
2020-04-18,0,1.6925,14.994888,2835.9912
2020-04-19,1,191.82875,17.541939,2339.84
2020-04-20,1,64.30625,15.516579,2411.2524
2020-04-21,1,110.27,18.47362,2642.9976
2020-04-22,1,231.19875,11.031339,2877.3813
2020-04-23,0,70.45,7.8414063,2645.03
2020-04-24,1,153.84,13.073266,2421.605
2020-04-25,0,10.05,14.698462,2146.5925
2020-04-26,0,0.555,21.22743,2777.2
2020-04-27,1,35.75875,12.7282915,3244.6362
2020-04-28,1,906.0675,12.234252,3282.7463
2020-04-29,0,0.3175,15.548089,2416.36
2020-04-30,0,0.03375,16.716759,3590.0425
2020-05-01,0,8.385,9.614734,3857.8787
2020-05-02,0,186.62,15.917204,3847.9863
2020-05-03,1,350.9525,18.85148,3620.9736
2020-05-04,1,434.365,17.92169,3555.3213
2020-05-05,1,31.0725,22.861876,2650.5488
2020-05-06,0,1.015,21.30172,2393.4963
2020-05-07,1,161.94,22.412779,3044.6013
2020-05-08,1,1.4525,19.255692,2056.91
2020-05-09,0,1.2875,17.045204,2357.205
2020-05-10,0,14.58375,23.904097,2102.72
2020-05-11,1,19.62625,21.960062,2276.8975
2020-05-12,0,60.71375,15.879833,2894.21
2020-05-13,1,418.36,10.593422,3616.3413
2020-05-14,1,804.5075,10.181705,3566.6162
2020-05-15,1,819.9575,15.785666,3447.8362
2020-05-16,0,171.61,9.62479,3245.3613
2020-05-17,0,7.40375,11.63726,3463.5164
2020-05-18,0,89.425,10.4379015,4120.1763
2020-05-19,1,456.3225,7.4035077,4232.315
2020-05-20,1,568.41626,7.5852365,4037.0388
2020-05-21,1,605.3775,9.038977,3742.925
2020-05-22,1,825.41626,9.327127,3519.0825
2020-05-23,1,1257.09,9.389136,3750.1487
2020-05-24,1,1401.1975,7.944755,3704.28
2020-05-25,0,264.69,12.526324,3203.74
2020-05-26,1,68.695,2.5492954,3181.0813
2020-05-27,0,164.8525,3.3458774,3335.5874
2020-05-28,0,135.115,7.057326,3336.4575
2020-05-29,0,0.0,9.926959,3917.4211
2020-05-30,0,1.5075,11.570961,3996.0525
2020-05-31,0,20.885,8.991042,4081.8513
2020-06-01,0,85.7175,6.133424,4168.246
2020-06-02,1,685.225,2.9945145,4164.2773
2020-06-03,1,1127.1212,9.156161,4062.1162
2020-06-04,1,1655.1025,11.300624,4104.4775
2020-06-05,1,1485.93,10.690902,4230.0713
2020-06-06,1,1102.485,3.5914927,4371.32
2020-06-07,0,589.8025,4.5116463,4546.995
2020-06-08,1,493.8425,5.6667557,4543.7764
2020-06-09,1,551.0175,17.172329,3916.8
2020-06-10,0,0.0875,12.048167,3580.765
2020-06-11,1,49.5175,13.170315,3653.1675
2020-06-12,0,61.79375,9.588241,3844.5537
2020-06-13,0,89.17,9.190979,3911.22
2020-06-14,0,100.89,5.794682,3939.4138
2020-06-15,0,145.8075,5.891367,4091.9888
2020-06-16,0,247.9925,6.010778,4149.4814
